"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"一分都不想给，连个快递都不会送，第二次送到家，要是别人不告诉我几别人百块钱就白花了","一分都步想给，练个快第都不灰松，第二次宋到家，要是别人不告诉我几别人百块钱就拜花了",0.009190201759338379,0.7607543468475342,0,1,0,61,"Successful"
"优点忒多了,不用多介绍了.","有点忒多了,不用多介少了.",0.03465765714645386,0.6279672384262085,1,0,1,20,"Successful"
"京东东西非常好，物流也非常给力，送货小哥服务很热情，希望京东越来越好，赞一个?！","竟东东洗非唱好，物流也非唱给离，松货小各服务很惹请，希望京懂越赖越好，赞一个?！",0.009421050548553467,0.03724783658981323,1,1,1,75,"Failed"
"一半以上都有点小问题，有几个不能吃。","一般以上都有点小文题，有及个部能池。",0.011299431324005127,0.5580944418907166,0,1,0,33,"Successful"
"性价比高，毕竟华为也是国内名牌。","性假比搞，毕竟华为也是过内名牌。",0.07553362846374512,0.9256858229637146,1,0,1,22,"Successful"
"物流超级快。快递大哥态度很好的哟，打开快递真的是没有失望，和我想象中的一样，男票穿的很显瘦！牛仔裤控！满意极了，裤子男票穿走了，没办法上图，总之很好评","物六朝级块。快低大各态毒很好的哟，大开快递阵的是每又失望，和我想象中的一样，难瞟穿的很显瘦！牛仔裤空！慢意极了，苦自男票船走了，没般法上吐，总之很好评",0.020923376083374023,0.20726990699768066,1,1,1,131,"Failed"
"收到的苹果与图片不符，很小，并且一盒中有5个坏的。","收到的苹过与图片不负，很小，并且一盒中有5个怀的。",0.021564960479736328,0.7986302375793457,0,1,0,28,"Successful"
"发热量也太大了吧，刚开机没多久，仅上网，机器就很热了，gpu就没有下过50度，cp一直44度以上，不知道是正常的还是我的这台有问题，希望有人指教一下~","发热量也太大了吧，刚开机没多久，仅上网，机器就很热了，gpu就没有下过50度，cp一直44度以上，不知道是正常的还是我的这台有问题，希望有人指教一下~",0.5531986951828003,0.5531986951828003,1,1,0,1,"Skipped"
"买了两条，这条裤子码数偏大了！","买了两条，这条裤子码数篇大了！",0.06603533029556274,0.8510631322860718,0,1,0,14,"Successful"
"手感冷冰冰的，除了小点好像没问题，蛮好的","手感冷冰冰的，除了小店好像没文题，蛮号的",0.13971269130706787,0.9744833707809448,1,0,1,26,"Successful"
